Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
HomePage,50,1016,938,1421,1519,2964,581,2964,0.00%,.0,.0,476.44
HomePage-0,50,397,291,681,721,1812,243,1812,0.00%,.0,.0,268.65
HomePage-1,50,617,562,915,1129,2115,331,2115,0.00%,.0,.0,312.02
LoginPage,48,842,790,1116,1513,1667,609,1667,0.00%,.0,.0,249.30
LoginPage-0,48,343,274,474,958,997,242,997,0.00%,.0,.0,196.39
LoginPage-1,48,499,486,621,725,820,349,820,0.00%,.0,.0,110.79
RegisterPage,46,728,700,806,858,1213,610,1213,0.00%,.0,.0,101.51
RegisterPage-0,46,284,259,311,342,752,244,752,0.00%,.0,.0,80.40
RegisterPage-1,46,443,423,535,553,573,352,573,0.00%,.0,.0,61.80
TOTAL,432,577,512,952,1187,1812,242,2964,0.00%,.0,.0,338.99
